stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,16.05,3.21,1.07,0,0,0,0,0,1.07,0,0,0,0
21Day,2.68,2.68,0,9.37,2.68,0,1.34,0,0,8.03,0,1.34,1.34,0,1.34,1.34,5.35,0,1.34,0,77.63,2.68,0,2.68,1.34,1.34,1.34,0,14.72,14.72,0,0,0
3Month,0,0.64,0,2.24,0,0,0,1.28,0,6.72,0.64,0,3.2,0.64,0.64,1.28,2.24,0,1.28,0.32,0.96,0,0,0,0.32,1.28,2.24,0,0,0,0.32,0.32,1.6
22Month,0,1.64,1.09,3.83,0,0.55,0.55,2.73,1.64,33.35,0,0.55,3.83,0,0,4.37,2.73,0.55,1.09,0,10.93,0,0.55,0.55,0.55,0.55,8.75,0.55,0,0,0,0,0.55
