stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,19.26,2.14,0,1.07,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,4.02,1.34,0,1.34,1.34,5.35,0,0,0
3Month,0,0,12.48,0,0.32,1.28,0.64,46.71,0.96,4.48,2.24,4.48,1.6,1.92,1.92,0,0.64,0.32,0,0,0,1.6,32.63,0,0.64,29.12,0.96
22Month,0,0.55,0.55,0,0,0,0,28.43,1.64,1.09,0,0.55,0,3.83,0,0.55,0,0.55,0,0,0,0,16.95,0,0,0.55,0
