stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,8.03,0,0,0
3Month,0.32,0.32,0,1.28,0.32,0.64,0.64,0,6.08,1.92,2.88,0.32,1.6,1.28,0.32,0.96,0.32,0,0.32,0,1.28,61.43,0.64,111.02,0.96
22Month,0,6.01,0.55,1.64,0.55,0,0.55,0.55,11.48,0.55,0.55,0,0.55,0,0,0,0,0,0,4.37,0,54.12,0,0,0
