stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,28.6,0,0,0
72hpf,0,1.07,2.14,6.42,2.14,177.59,19.26,1.07,7.49,6.42
21Day,1.34,0,0,0,0,2.68,4.02,0,0,0
