stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,9.37,0,0,0,5.35,0,0,9.37,0,0,5.35,1.34,1.34,0,0,0,1.34,1.34,0,1.34,0,0,0
3Month,0,0,0.32,11.84,0.32,0,0.96,5.76,1.28,0.96,0.32,6.4,0.96,2.24,0.64,0.64,0,0.32,0.32,0,0,0.32,0,0,0.32,0.96
22Month,0,1.09,0.55,3.28,0.55,0.55,0,4.37,9.84,3.83,0,2.19,0.55,1.09,2.19,3.28,0.55,0,0,0,0,0,2.19,0.55,0,1.09
