stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,4.09,0,0,0,0,0,12.26,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,7.49,0,3.21,0,3.21,0,1.07,0,0,12.84,8.56,0,0,0,2.14,0,0,0,0,0,0
21Day,1.34,0,0,5.35,0,1.34,0,1.34,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,1.34,2.68,0,0,0,2.68,0,0,0,0,0,0
3Month,0,0.96,1.28,7.68,0.64,0,0,67.83,1.6,0,22.08,2.56,0.64,56.63,0.32,8,1.6,3.84,0.96,0,1.28,4.16,1.6,0,0.96,0.32,0,0.32,0.96,5.76,0.32,1.28,4.8,2.88
22Month,0,3.28,4.37,20.77,0,0,0.55,64.51,18.04,113.7,393.59,2.73,0,40.45,2.19,6.01,7.11,8.2,0,6.56,1.09,0,0,0,1.09,1.64,0.55,0.55,2.19,5.47,1.64,0,0,3.28
