stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Nephron_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,2.56,0,0.32,1.6,1.28,0.32,2.24,0.32,0.64,0.32,0.32,0.32,0.64,7.04,0.64,136.3,0
22Month,0,0.55,0,0,0,0,0,0,0,0.55,0,0,0,0,0.55,0,0,0.55
