stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,4.09,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,9.63,0,0,6.42,1.07,36.37,0,0,0,4.28,0,0,0
21Day,0,2.68,1.34,0,0,0,0,0,0,0,0,34.8,0,0,2.68,2.68,26.77,2.68,0,2.68,0,0,0,0
3Month,0.32,1.28,0,0.32,0.32,3.2,0.32,0,0,0.96,0,6.4,0,0,0,0,0,0,0.64,0,0.32,0.32,0.32,0.32
22Month,0.55,0,0,0,0.55,1.64,0.55,0.55,0,0,0.55,14.76,0.55,1.64,0,0,0,0,0,0,0,0,0,0
