stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,102.16,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,16.35,0,0,0,0,12.26,65.38,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,1.07,0,7.49,1.07,2.14,0,0,0,0,0,0,0,0,0,0,19.26,0,6.42,0,0,1.07,0,514.57,20.33,0,0,13.91,0,0,1.07,0,1.07,0,0
21Day,13.39,4.02,0,21.42,2.68,8.03,0,1.34,0,0,1.34,0,0,0,5.35,1.34,2.68,1.34,93.7,0,1.34,5.35,0,333.29,22.76,1.34,2.68,42.83,9.37,0,1.34,0,2.68,0,2.68
3Month,0,1.28,0,2.24,0,0,0,0,0.32,0.32,0.32,0,0,0,0,0.32,0,0.32,0.96,0.64,0,0,0.32,0,0,0,0,0,0,0.32,0,0,0,0,0
22Month,0,13.67,0.55,5.47,0,0,1.09,0,0,0,1.09,1.64,6.56,0.55,0,1.09,0.55,1.09,2.19,0,0.55,0,0,1.64,0,1.64,0.55,0,0.55,0,0,0.55,0,1.09,0
