stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0
72hpf,0,6.42,0,0,0,0,1.07,28.88,0,0,0,0,0,0,0,0,0
21Day,0,12.05,0,0,0,0,0,9.37,0,0,1.34,0,0,0,0,0,0
3Month,0.32,37.43,0.32,3.52,0.32,1.92,0.96,28.8,0,0.32,0,0.32,0.32,0.64,2.56,0.32,0.96
22Month,0,4.37,1.64,3.28,0,0.55,0,7.65,2.19,0.55,0,1.64,0,0,1.09,0,0
