stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,273.79,0,0,0,0,0,0,0,0,0,0,12.26,102.16,0,8.17,0,0,0,4.09,0,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,37.44,1.07,0,0,0,0,0,0,0,0,0,21.4,230.01,0,3.21,0,2.14,0,3.21,6.42,8.56,1.07,0,3.21,1.07,0,2.14,0,0,0,0
21Day,0,0,1.34,144.56,0,1.34,0,0,0,0,0,4.02,0,6.69,10.71,54.88,0,6.69,0,0,0,0,4.02,6.69,0,0,2.68,2.68,0,0,1.34,0,0,0
3Month,0,0.64,1.6,172.13,0,0,0.64,0.32,10.24,1.6,0,12.16,1.92,54.39,9.28,81.27,5.12,1.92,1.28,0,2.88,3.52,1.28,0.32,1.92,0,0,2.24,4.16,0,0,1.28,1.92,1.6
22Month,0,0,1.09,21.32,0,0,0,0,1.09,0,0.55,16.4,1.09,33.89,2.19,9.29,0.55,0,0,0.55,1.09,0,0.55,0,1.09,1.09,0,0,3.28,0,0,0,0,0
