stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,1.07,0,0,0,2.14,0,2.14,1.07,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0.32,4.8,0,0,0,0,1.6,0.32,0,0,5.12,0.64,0,3.2,0,1.28,0,1.28,0,0,0,1.92,0,0,0,0,0,0,0,6.72,0,0,0,0,0,2.88,0
22Month,1202.64,875.74,347.67,1627.94,140.49,1456.83,68.88,4.92,422.56,2045.58,288.63,0.55,6259181.54,845.13,289.73,2333.67,140.49,323.07,1369.92,2421.13,119.17,10187.46,1526.26,39.36,349.86,37.17,266.22,903.62,8329.92,121.9,553.21,378.29,247.63,5894.03,116.98,6.56,48.65,6.01,455.36
