stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,4.28,0,0,0,0,0,1.07,3.21,0,0,0,1.07,0,0,0,0,0
21Day,0,0,1.34,5.35,1.34,0,0,0,0,0,0,0,1.34,0,0,2.68,0,4.02,0,0,0,6.69,0,2.68,1.34,5.35,0,17.4,53.54,0,0,1.34
3Month,0,0,0,4.48,0,0.32,0,0.64,0.32,0,4.16,0.64,0.32,3.2,0.64,1.92,0.64,1.92,1.28,0.64,0.32,0,0.32,0,0.32,35.83,0,0.32,0,0.32,28.16,0.96
22Month,0,1.09,1.64,2.19,0,0,0.55,1.09,1.64,1.64,15.31,0.55,0,2.73,0.55,0,1.09,0.55,0,0.55,0,0.55,0,0,0.55,4.92,0,0,0,0,0,0.55
