stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.32,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,5.76,0,0.64,0
22Month,3.28,1.64,0.55,1.64,26.79,0.55,1.09,2.19,0.55,2.19,0.55,0.55,1.09,0.55,1.09,0.55,0,0.55,0.55,0,1.64
