stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,12.26,0,0,0,0,0,0,4.09,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,1.07,4.28,3.21,1.07,5.35,0,0,185.07,14.98,2.14,0,0,2.14,0,0,1.07,51.35,43.86,0,0
21Day,0,0,0,0,0,0,0,0,0,6.69,0,1.34,0,0,0,0,20.08,5.35,0,0,0,1.34,0,0,0,62.91,58.9,1.34,0
3Month,0,0,1.92,0.64,0.64,0,0,0.32,0,0.64,0,1.28,0.96,1.92,0,0.32,0,0.32,3.84,0.32,0,0,0.32,4.16,0,0.96,0.32,0,0.32
22Month,0.55,0.55,1.64,0,3.28,2.19,0,158.53,1.09,2.19,0,0,0,2.73,1.64,0,0,0,6.56,0,1.09,0,0,0,0,64.51,0,0,0
