stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,16.35,4.09,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,2.14,0,1.07,1.07,0,23.54,5.35,1.07,0,1.07,1.07,0,0,0
21Day,0,0,4.02,2.68,0,0,0,0,1.34,0,1.34,1.34,0,1.34,0,2.68,0,0,14.72,0,2.68,0,1.34,6.69,0,0,1.34
3Month,0.32,0.32,4.48,0,0.32,1.6,0.32,0,6.4,0,0,2.56,1.28,1.28,0.96,0.96,0,1.28,0.96,0,0,2.56,0,0,0.32,7.36,1.28
22Month,0,0.55,2.19,0,0,0,1.09,1.09,7.11,0.55,0,3.83,0,0,0.55,0,0,0,0,0,0,1.09,2.19,0,0,0,0.55
