stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,22.47,2.14,0,0,0,0,0,0,0,0
21Day,1.34,0,6.69,1.34,0,0,0,0,0,0,0,2.68,0,1.34,0,17.4,0,0,0,0,4.02,0,1.34,0,0
3Month,0,0,0.96,0,0,0,3.84,0.64,0,1.28,0,0.64,0.32,0.64,0.32,0,0,0.32,0.32,0.32,0.64,0.32,0,0.32,0.32
22Month,0,0.55,0.55,0,0.55,0.55,13.67,0,1.09,1.09,0,0,0.55,1.64,0,1.09,0,0.55,0,0,0.55,0,0,0,0
