stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,4.09,61.3,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,0,0,0,0,0,0,0,2.14,3.21,0,2.14,0,1.07,0,6.42,4.28,0,4.28,0,0,2.14,0,0,0,0,0
21Day,5.35,0,0,2.68,1.34,0,0,0,0,0,0,0,4.02,0,12.05,0,1.34,0,4.02,6.69,0,16.06,0,0,0,1.34,0,0,0,0
3Month,0.32,0.64,0.64,8.64,0.32,0.32,0.64,1.28,1.92,0.64,2.56,4.8,6.4,0.96,16,6.08,0.96,4.8,0.32,0,1.28,1.28,0,3.52,0,0,0.32,0.64,0.32,0.32
22Month,0,0.55,0,1.09,0,0,0.55,1.64,6.01,0.55,3.83,0,2.19,1.09,18.04,0.55,0,0,0.55,0,0,1.64,0.55,0.55,0.55,0,0,0,0,0.55
