stage,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0
3Month,0.96,0,0.32,0.64,0.64,0.64
