stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
72hpf,2.14,1.07,0,0,0,0,0,3.21,2.14,0,0,1.07,0,0,0,0,0
21Day,8.03,0,0,0,0,0,0,0,8.03,0,0,0,1.34,0,0,0,0
3Month,0,0.96,0.32,1.6,0.32,0.64,0.32,0.64,0,0.64,0,0,0,0.96,0,0.32,0.32
22Month,0,0,0,8.75,1.09,0,0,0.55,0,0,0.55,0,0,0.55,0.55,0,0
