stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,44.95,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,7.49,9.63,0,1.07,0,3.21,2.14,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,1.34,0,6.69,0,0,0,0,0,0
3Month,0,0.32,1.28,0,0.32,0.32,3.84,0.96,1.6,0,0.64,0.96,0.32,0.96,0.32,0.32,0,0,0.32,0,1.28,84.47,0.32,0.96,54.71,0.64
22Month,0,0,0.55,0,0,0,4.92,0,0,0,0,0,0,0.55,0,0,0.55,0,0,0,0,32.8,0,0,0,0
