stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,16.35,0,4.09,0,0,0,0,0,0,0
72hpf,6.42,3.21,1.07,2.14,0,0,0,0,0,0,0,1.07,2.14,0,5.35,0,0,0,7.49,2.14,2.14,9.63,0,0,0,0,0,0,0
21Day,8.03,0,80.31,0,2.68,0,0,0,1.34,0,1.34,1.34,2.68,0,13.39,0,0,0,1.34,0,2.68,9.37,4.02,0,1.34,1.34,0,0,0
3Month,0.32,0.64,17.28,0,0,0.32,0.64,0.32,0.96,0.96,0.64,0,4.8,0.64,2.88,0.32,0.32,0.32,0.32,0,1.92,0.32,0.32,1.6,0,0,0.32,0.64,0.32
22Month,0,0.55,2.19,0,0,0,0,0.55,2.73,0,0.55,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0
