stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,5.35,0,1.07,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0
21Day,12.05,0,1.34,36.14,0,4.02,0,2.68,0,0,0,0,0,0,64.25,8.03,2.68,25.43,6.69,8.03,0,0,0,0,6.69,5.35,0,0,8.03,5.35,2.68,0,0,0,34.8
3Month,0.32,4.16,6.4,289.55,0.32,0,2.24,1.28,0.32,62.07,22.72,0.32,113.58,14.72,16.64,183.01,15.04,51.19,35.51,8.96,1.92,0.32,46.71,8,1.92,0.32,7.68,1.92,0.64,6.4,24.96,0,5.76,14.4,119.02
22Month,1.09,6.56,16.4,110.42,0,0,2.73,1.09,0,47.01,34.99,10.39,173.29,5.47,21.87,229.59,5.47,16.4,37.17,8.75,0,1.09,9.84,0.55,1.64,1.09,8.2,1.09,0,0.55,16.4,0.55,0.55,0,30.07
