stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,2.14,0,68.47,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,3.21,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,4.02,0,119.13,0,1.34,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,1.34,0,0,0
3Month,0,0.96,0,2.56,0.64,0,67.19,0,0.64,1.92,0.64,3.52,0.96,0,0.96,0.64,0.32,5.12,0.64,0,0,0.32,0.32,0.64,0,0,0.32,0,0.32,5.12,0,0,0.32,2.24,2.56
22Month,0.55,7.11,1.64,8.2,0,0,94.02,1.09,0,1.09,6.56,15.31,4.92,2.19,0.55,0,2.73,8.2,10.93,0.55,2.19,1.64,0,2.19,0,2.19,0,0,0.55,1.09,0.55,0,0.55,0,2.73
