stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,4.09,0,0,20.43,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,1.07,0,0,0,37.44,6.42,3.21,0,0
21Day,0,1.34,1.34,0,0,0,0,0,2.68,1.34,4.02,0,0,0,1.34,0,2.68
3Month,0,0,0,0,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0
22Month,0.55,0,1.09,0.55,0.55,72.16,1.09,0.55,0,2.73,0,5.47,0,0,0,2.73,0
