stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,4.09,0,0,0,4.09,32.69,122.59,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,5.35,0,3.21,0,0,0,2.14,0,0,0,0,0,14.98,3.21,0,3.21,0,5.35,0,1.07,185.07,21.4,0,2.14,0,3.21,1.07,0,2.14,0,0,0,0
21Day,1.34,0,0,4.02,0,2.68,0,0,2.68,0,0,4.02,0,0,8.03,1.34,4.02,0,1.34,0,0,0,0,30.79,2.68,0,0,0,1.34,1.34,0,0,4.02,0,0,0
3Month,0,4.8,3.84,75.19,0.32,0,0.96,0.32,25.6,1.92,0,191.01,3.2,0.32,149.42,8.96,4.16,7.04,8.96,1.92,0.32,52.47,8.32,0.32,0,11.2,0.96,0,0.32,4.16,7.04,0.64,1.6,0.64,6.72,2.24
22Month,0.55,3.83,10.39,38.81,0,0,0.55,0,18.04,2.73,1.09,155.25,0.55,1.64,86.92,2.19,1.64,2.73,5.47,0,4.92,11.48,1.64,1.09,1.09,7.65,0,0.55,0,0,2.19,0,0,0,0,0
