stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,0,0,0,0,0,5.35,0,9.63,0,0,0,24.61,4.28,2.14,0,0,1.07,1.07,0,0
21Day,5.35,0,4.02,1.34,0,1.34,0,0,0,0,0,0,1.34,0,13.39,0,6.69,0,4.02,4.02,0,1.34,0,1.34,0,0,0
3Month,0,2.24,8.64,0,0.32,0,2.88,2.24,0.32,0,22.4,1.28,2.24,1.28,3.52,0.32,2.24,1.6,0,0,0,0.64,1.28,0,0,0.32,0.32
22Month,0,0.55,0.55,0,0,0,1.09,2.19,0,0.55,12.57,0,0.55,0.55,1.09,0,0,0,0,0,0,0,0,0,0,0,0.55
