stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,20.43,0,0,0,0,0,0
72hpf,3.21,0,0,1.07,3.21,0,0,0,0,0,3.21,0,1.07,0,146.56,98.42,6.42,1.07,53.49,2.14,0,3.21
21Day,2.68,0,2.68,0,4.02,1.34,0,0,1.34,0,0,0,4.02,0,69.6,28.11,1.34,1.34,14.72,0,1.34,0
3Month,0,0,0,0,0,0,0,0.32,0,0.32,0,0.32,0,0.32,0,0,0,0,0,0,0,0
22Month,0,0.55,0.55,0,0,0,0.55,1.64,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
