stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,20.43,0,61.3,0,0,0,0,0,0,0,0,0,0,12.26,16.35,138.94,102.16,0,8.17,0,0,20.43,576.18,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,7.49,0,0,0,0,0,0,0,0,0,0,4.28,5.35,2.14,7.49,0,0,0,0,11.77,11.77,0,1.07,8.56,0,0,2.14,0,0,0,0
21Day,5.35,0,1.34,96.37,5.35,4.02,0,0,10.71,0,0,1.34,12.05,10.71,6.69,28.11,16.06,24.09,0,0,5.35,1.34,12.05,6.69,1.34,0,5.35,2.68,1.34,0,4.02,0,0,4.02
3Month,0,1.6,0.32,116.78,0.32,0,0.64,5.44,48.63,0,7.36,16,0.96,32.95,3.2,35.19,21.76,4.16,0.64,0,0.64,0.96,0.32,0.32,1.6,0.32,0.64,0.32,39.35,0.32,0,0.64,2.24,1.6
22Month,0,1.09,3.28,34.99,0,0,0.55,4.92,105.5,2.19,9.29,11.48,0.55,66.69,1.09,8.75,26.79,3.83,0.55,2.73,0.55,0,0,0,1.09,0,0.55,0.55,12.57,0,0,0.55,0,0
