stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,2.68,0,1.34,0,0,0,0,0,4.02,0,0,8.03,1.34,0,0,0,4.02,1.34,0,0,1.34,1.34,0,0,0,6.69
3Month,0,0.32,3.2,0.64,0.32,0.64,5.12,2.56,0,1.6,1.92,4.48,1.92,0.32,0.64,0.64,0,0.64,0.32,0.32,0.96,2.56,0,0.32,3.2,85.11
22Month,0,0,0.55,0.55,0.55,0.55,14.21,0,0,1.64,0,2.19,0.55,0.55,0,0,0,0,0.55,0,0,4.37,0.55,0,0,22.41
