stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,89.9,8.17,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,5.35,0,0,6.42,0,10.7,0,0,0,0,0,0,0,0,1.07,0,4.28,26.74,3.21,9.63,1.07,1.07,1.07,1070.86,56.7,3.21,1.07,20.33,4.28,1.07,8.56,25.67,1.07,380.85,0,0,0
21Day,13.39,0,2.68,16.06,0,12.05,0,6.69,0,1.34,0,0,0,0,20.08,1.34,0,9.37,33.46,17.4,0,1.34,0,509.98,30.79,1.34,8.03,9.37,17.4,1.34,2.68,62.91,2.68,40.16,0,0,9.37
3Month,0,0.32,0,6.08,1.92,0,0,4.8,0.96,2.56,0.32,0,7.04,2.88,0.64,2.24,0.96,1.6,14.72,6.4,0,5.44,0.96,6.08,0,1.92,0.32,0,0.64,32.63,0.64,0.96,0,6.4,0.32,133.1,27.2
22Month,0,2.73,0,8.75,0,0,0.55,3.28,0,4.37,6.56,0,24.6,1.64,3.28,0.55,0,0,14.21,8.75,0,0,0.55,18.59,0,1.64,0,0,0,26.24,4.37,1.64,0,0,0.55,1.09,14.76
