stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,61.3,130.76,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,5.35,3.21,1.07,0,0,0,0,0,0,0,0,0,0,0,11.77,12.84,0,5.35,0,0,3.21,3.21,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,4.02,9.37,0,1.34,0,0,5.35,12.05,0,0,0
3Month,0.32,0,13.44,0,0,0.32,0,0,0.64,0.32,0,2.24,0.32,0.32,2.88,0.64,0.96,0.32,0,0,0,1.28,0.32,3.2,0.32,10.56,0.32
22Month,0,0.55,14.21,0,0,0,1.09,1.09,9.84,0.55,0,2.19,0,0.55,0.55,1.09,0.55,0.55,0.55,0,1.09,1.64,0,1.09,0,0.55,0
