stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,290.13,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,4.09,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,162.61,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,10.7,3.21,0,0,1.07,0,0,1.07,77.02,2.14,0,0
21Day,191.41,0,1.34,12.05,1.34,6.69,0,2.68,0,0,0,0,0,0,1.34,2.68,2.68,5.35,0,8.03,0,0,8.03,17.4,4.02,0,1.34,4.02,6.69,0,0,449.75,16.06,0,1.34
3Month,25.6,0.96,0.96,8.32,0,0,0.32,0,12.48,1.28,0,0,10.56,3.2,0,52.79,0.32,1.28,2.88,2.24,0.32,0,0.64,0,0,8,0.32,0.32,0.64,12.16,0.32,7.36,0,7.04,1.28
22Month,8.75,0.55,4.92,6.56,0,0,0,0,2.19,3.28,1.64,0,28.97,0,0,74.89,0.55,1.09,1.09,2.19,0,1.64,1.64,2.19,0,3.83,0.55,0,0,8.2,2.19,589.29,0,0,2.73
