stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,22.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0,44.79,0.32,3.2,0,0.32,1.28,2.24,0,8,0.96,0,1.92,1.28,1.28,2.56,0.32,0,0.64,0.32,0,0,0,0,0.96,2.24,0,0.64,0.32,1.6
22Month,0.55,186.96,0.55,3.83,1.09,1.09,0,8.75,3.28,39.91,1.64,1.09,3.83,1.64,3.83,4.92,0.55,1.09,1.09,0,0.55,0.55,2.19,0.55,1.09,0,0.55,0,0,1.64
