stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,61.3,4.09,0,12.26,0,0,0,0,0,0,0,0,28.6,8.17,0,4.09,0,232.93,0,4.09,0,0,0,0,0,0,0
72hpf,22.47,1.07,0,1.07,0,0,0,0,0,0,1.07,2.14,0,8.56,0,0,25.67,2.14,1.07,27.81,0,0,0,0,0,0,0
21Day,0,1.34,1.34,1.34,2.68,0,0,0,0,0,5.35,1.34,0,1.34,0,0,2.68,0,0,14.72,0,1.34,0,0,0,0,0
3Month,2.24,0.32,0,2.88,0,0.32,4.48,4.16,0,2.56,0.32,1.6,0.96,2.56,0.32,0.32,0.32,0,0,2.24,0.96,57.91,0.64,0.32,0,47.99,0.64
22Month,0.55,0,0,1.64,0,0,9.29,9.29,0.55,0.55,0,0,0,1.64,0,0,0.55,0.55,0,0,0.55,21.32,0,0,0.55,0,0.55
