stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,5.35,0,0,0,0,0,0,0,0,0,0,3.21,2.14,0,2.14,0,0
21Day,1.34,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0
3Month,0,1.6,0,0.32,0.64,0.32,0.96,0.32,0.32,0.64,0.32,0,0.96,0,0,0.32,0,1.28,0.32
22Month,0,0.55,0,0,4.37,1.09,1.09,0,0,0,0,0.55,0,0,0,0,0,1.64,0
