stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,16.35,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,12.26,0,0,0,0,36.78,0,8.17,0,0,0,0,0,0
72hpf,6.42,0,5.35,1.07,1.07,0,0,0,0,0,0,0,0,0,9.63,17.12,0,21.4,8.56,2.14,0,10.7,9.63,2.14,64.19,7.49,0,0,0,0,0
21Day,10.71,1.34,72.28,0,8.03,4.02,0,1.34,0,0,6.69,5.35,8.03,4.02,8.03,41.49,5.35,81.65,1.34,21.42,0,14.72,24.09,2.68,93.7,57.56,0,1.34,2.68,2.68,0
3Month,0,0,1.6,0,0,0,0.32,0,0,0,0.64,0,0,0,0.64,0.32,0,0.32,0,0,0.32,0,0,0.64,0,0,9.28,0,0.32,0,1.28
22Month,0,0,0.55,0,0,0,0,0,3.83,0,8.2,0,0,1.09,0,0,1.09,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
