stage,Hepatocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,12.26,0
72hpf,0,2.14,0,0,1.07
21Day,0,4.02,0,0,0
22Month,1.09,0,0.55,0,0
