stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,16.35,0,0,0,0,0,12.26,0,8.17,0,0,0,0,0,0
72hpf,2.14,2.14,0,2.14,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,14.98,0,2.14,0,0,0,0,4.28,1.07,0,1.07,0,0,0,0,0,0
21Day,1.34,0,1.34,18.74,1.34,1.34,0,0,0,0,0,0,0,0,0,1.34,1.34,0,9.37,5.35,8.03,0,0,4.02,0,8.03,1.34,0,9.37,0,0,4.02,0,0,6.69
3Month,0,4.16,0.32,37.75,0.32,0,0.32,0.64,0.32,4.8,10.56,0,0,7.04,22.4,0,7.04,1.6,10.56,8,12.8,2.88,0,8.64,0.32,0.32,0.32,3.52,0.96,0.64,14.08,0,0.64,3.2,17.28
22Month,0,6.56,1.09,18.04,0,0,0.55,0.55,0,2.73,14.76,0.55,0,9.84,6.01,4.37,14.21,1.09,4.92,14.76,15.85,1.09,0.55,5.47,0,0,0,1.64,0.55,0,4.37,0.55,1.09,0,8.75
