stage,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,8.17,0,0
72hpf,1.07,1.07,0,1.07,31.02,1.07,1.07,1.07
21Day,0,0,0,0,5.35,0,0,0
22Month,0,0,1.09,0,0,0,0,0
