stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,16.35,36.78,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,2.14,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0.32,0,0,0.64,0,0,0,0.96,0,0,0.64,0,0.64,0.32,6.4
22Month,0,0.55,0,2.73,2.19,0.55,0,2.73,2.19,0,0,0.55,0,0,27.88
