stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,12.26,12.26,4.09,16.35,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,3.21,105.91,13.91,0,0,1.07,0,0,3.21,136.93,99.49,1.07,0,0,0
21Day,13.39,0,0,29.45,2.68,0,0,1.34,0,1.34,0,1.34,1.34,0,12.05,0,18.74,0,0,2.68,0,36.14,10.71,0,0,4.02,0,0,0,230.23,443.05,1.34,0,0,2.68
3Month,1.6,0.96,0,42.55,0,0.32,0.64,0.64,0,33.91,0.64,0,2.56,4.8,2.56,1.92,2.88,1.6,0,14.08,14.08,1.28,0,0,0.96,0,0.32,0.64,0.64,12.8,0.96,1.92,0.32,0.64,6.4
22Month,0.55,2.19,0.55,25.15,0,1.09,1.09,4.37,22.41,36.63,1.09,0.55,2.19,3.28,1.64,1.64,1.64,0,1.09,12.03,1.64,4.37,0,1.09,0.55,0,0,1.64,1.64,303.94,0,0.55,0,0,0.55
