stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,16.35,0,0,65.38,0,0,4.09,159.37,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,5.35,0,0,0,0,0,2.14,6.42,0,8.56,0,0,22.47,26.74,0,1.07,3.21,0,0,21.4,0,0,0,0
21Day,0,0,5.35,22.76,0,0,0,0,0,4.02,1.34,0,12.05,2.68,0,20.08,9.37,0,1.34,12.05,0,0,1.34,0,0,0,0
3Month,0.64,0.32,8.96,0.64,1.6,0.64,5.76,0.96,1.28,0.96,0.64,0.96,0,1.28,0,1.28,0,0.64,0.32,0,0.96,3.52,0,0.32,0.96,160.29,0.96
22Month,0,0,9.29,0.55,0,1.09,18.04,2.19,2.19,2.19,1.64,2.73,2.73,0,0.55,0.55,0,1.09,0,0,0,4.37,0,0,0,1.64,1.09
