stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,40.86,4.09,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,20.43,0,0,0,0,4.09,53.12,0,0,0,0,0,0,0,0
72hpf,94.14,5.35,0,31.02,42.79,1.07,0,0,0,0,0,0,0,1.07,6.42,0,12.84,0,0,0,0,11.77,12.84,0,336.98,0,0,3.21,0,0,0
21Day,73.62,8.03,0,53.54,1.34,5.35,0,0,0,0,0,4.02,0,1.34,9.37,4.02,44.17,0,0,6.69,0,5.35,4.02,2.68,231.57,6.69,0,0,0,0,0
3Month,0.32,12.8,1.92,24.96,1.28,0,1.28,0.32,0,9.28,1.6,0.32,1.6,7.36,5.12,1.6,76.79,0.64,0,3.84,0.64,3.52,0,0.32,30.4,0.32,9.28,0,0.64,0.64,1.28
22Month,0,2.73,0,7.11,1.09,0,1.64,1.09,7.11,15.31,0,0,1.64,0,0.55,0.55,7.65,0,1.09,1.09,0,0,0,1.64,14.76,0,12.57,0,0,0,0
