stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0,0.32,1.28,0,0.32,0.32,0.32,0.32,0.64,0,0.32,0.32,0,0.32
22Month,0,0,0,1.09,0,0,0,0.55,0,0,0,0,0.55,0
