stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,0,4.09,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,5.35,0,0,0,1.07,0,0,0,0,0,0,1.07,8.56,0,0,0,0,0,10.7,1.07,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0
21Day,0,0,1.34,8.03,1.34,1.34,0,1.34,0,0,0,0,0,2.68,0,10.71,1.34,5.35,0,0,0,4.02,2.68,0,0,0,2.68,2.68,10.71,0,0,10.71,0,0,0,0
3Month,0,0,0.96,8,5.44,0,0,0,0.64,2.56,0.64,16.64,1.92,8.96,0,9.92,1.28,1.92,0.64,0,0.64,0,0.32,0.64,0.32,0,0,0.96,84.15,0.96,0,0,0.32,0.32,29.44,3.52
22Month,0,0.55,1.64,3.28,3.83,0,1.09,0,0.55,2.19,0.55,36.63,0,6.01,0.55,0,2.73,2.73,0,1.09,0,0.55,0,0.55,0,1.64,0,0,38.27,0,3.83,0,0,0,0,0
