stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell,Retinal_cone_cell
24hpf,0,4.09,0,0,0,0,0,0,12.26,0,0,0
72hpf,0,1.07,0,0,6.42,0,0,2.14,0,2.14,0,1.07
21Day,2.68,4.02,1.34,0,5.35,1.34,6.69,0,1.34,4.02,1.34,0
22Month,0,0,0,1.64,0,0,0,0,0,0,0,0
