stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,1.07,0,0,9.63,4.28,0,0,1.07,0,0
21Day,0,0,0,0,0,1.34,1.34,1.34,0,1.34,1.34,0,0,0,0,0
3Month,2.24,0.32,0.32,2.56,0,0.64,0.64,1.28,0.32,0.32,0,0,1.92,0,4.16,0.32
22Month,0.55,0,0.55,4.37,0.55,1.64,0,1.64,0,0,0,0.55,1.64,0,0,0
