stage,Enterocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,4.28,2.14,0,1.07,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.32,1.92,0,0.96,0.32,0.64,0,0,0,0,0,0,0.32
22Month,0,0,0.55,7.65,0,1.64,0.55,0,0,0,0.55,0,0
