stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,8.17,0,0,12.26,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,3.21,0,0,0
21Day,0,18.74,1.34,0,0,0,0,1.34,0,4.02,0,1.34,0,0,1.34,1.34,2.68,2.68,0,0
3Month,0.32,3.52,0,0.32,0,1.28,0.32,0,0.64,0,0,0,0.32,0,0.32,0,0.32,5.12,0.32,0.32
22Month,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0
