stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0
3Month,1.28,0.32,2.56,0.64,0.32,1.6,1.92,0.64,0.32,0.32,0.64,0,0.32,0.96,31.99,0.32,47.67,0.32
22Month,0,0,0,0.55,0,0.55,0,0,0,0,0,0,0,0,2.19,0,0,0
