stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
3Month,1.28,0,0.96,0,0.32,0,0.32,0.32,0.32,0.32
22Month,2.19,0.55,9.29,0.55,0,1.09,1.09,0,0,0
