stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,1.07,0,5.35,7.49,0,0,0,3.21,0,0,1.07,0,0,0,0
21Day,0,2.68,0,1.34,0,0,0,0,0,0,0,0,0,6.69,0,0,2.68,1.34,0,0,0,5.35,0,0,0,1.34,0,0,0
3Month,0,9.6,0.32,8.64,0.32,0.32,0.32,0,2.88,0.32,1.6,1.6,1.28,3.52,0.32,0.64,0,0,0.32,0.32,0,0,0.64,3.84,0,0,3.52,0.64,0.32
22Month,0,6.56,0,2.19,0,0,0.55,1.09,7.11,0,1.09,1.09,0,4.92,0.55,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0
