stage,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0
3Month,0.32,0.32,0.32,5.44,0,5.12,2.88,0.32
