stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,16.35,0,0,0,0,0,0,0,0,0,0,0,24.52,0,8.17,0,0,0,0,4.09,36.78,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,6.42,2.14,0,0,0,0,0,0,0,0,0,1.07,42.79,1.07,2.14,0,1.07,0,2.14,10.7,3.21,1.07,0,5.35,0,1.07,2.14,0,4.28,0,0,0
21Day,2.68,0,2.68,28.11,2.68,2.68,0,0,0,0,4.02,0,0,1.34,8.03,270.38,0,9.37,0,0,0,4.02,12.05,2.68,0,0,4.02,0,2.68,1.34,4.02,5.35,0,0,2.68
3Month,0.64,0.96,9.92,259.48,0,0,2.56,15.04,4.8,0,585.19,8,0.32,43.19,2.88,10.24,12.8,8.32,1.28,1.92,7.68,86.71,1.92,0.32,7.04,2.88,0.96,9.6,29.76,0.64,0,0.64,1.28,3.52,11.84
22Month,1.09,2.73,9.29,48.65,0,0,6.56,8.75,5.47,2.73,758.76,4.92,0.55,57.95,2.73,2.73,9.29,21.32,1.64,29.52,6.56,2.73,1.64,2.19,10.39,3.83,0,0,24.6,3.83,0,0.55,1.09,0,4.37
