stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,5.35,0,0,0,0,0,0,0,28.11,0,1.34,0,0,0,0,1.34,0,0,0
3Month,0,0.32,8.32,0.32,0.32,1.28,5.44,0.64,0.32,0.32,110.7,1.28,1.28,0.96,0.32,0.64,2.56,0,0.96,0.96,1.92
22Month,0.55,1.09,5.47,0,0,1.09,18.04,0,1.64,0,68.88,0.55,1.09,0,0,0,0,0,0,0,0
