stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,4.09,24.52,4.09,77.64,0,0,4.09,4.09,0,0,4.09,0,0,0,0,0,0,0
72hpf,21.4,0,1.07,1.07,0,0,0,0,0,0,1.07,0,0,3.21,0,17.12,0,23.54,9.63,2.14,0,0,1.07,1.07,0,1.07,0,0,0,0
21Day,29.45,4.02,12.05,0,2.68,0,0,0,0,0,0,0,0,2.68,1.34,13.39,0,52.2,52.2,5.35,0,0,2.68,4.02,1.34,0,1.34,0,0,0
3Month,3.84,0.32,1.92,0,0,0.96,0.64,0,2.56,0.32,0,0.64,0,0.32,0.96,1.92,0.32,0.32,0.32,0,0,0,0,0.32,1.92,0,0,0.32,1.28,0.64
22Month,0,0,0.55,0.55,0,0,1.09,0.55,12.57,0.55,0,0.55,0,0,1.64,2.73,0,1.09,1.64,0,0.55,1.09,0,0,1.64,0,0,0,0,0
