stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,0,0,0,0,8.17,24.52,20.43,49.04,0,0,0,0,596.62,0,0,0,0,0,4.09,0
72hpf,5.35,1.07,0,2.14,1.07,0,1.07,0,0,0,0,0,0,0,6.42,7.49,1.07,11.77,0,2.14,1.07,24.61,119.82,0,0,2.14,0,0,0,0
21Day,4.02,0,0,16.06,1.34,0,5.35,0,0,0,1.34,0,0,0,1.34,1.34,1.34,9.37,0,0,0,4.02,14.72,0,0,1.34,1.34,2.68,0,0
22Month,0.55,2.19,4.92,6.01,0,1.09,0.55,1.64,19.13,2.73,54.12,9.29,13.12,27.88,2.73,0.55,61.23,8.2,0.55,4.37,1.09,0,0,0.55,1.64,0,0.55,0,0,8.2
