stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,4.09,20.43,0,0,0,8.17,0,0,0,4.09,16.35,4.09,32.69,12.26,245.18,0,0,0
72hpf,2.14,1.07,1.07,3.21,0,0,0,1.07,0,0,2.14,0,9.63,3.21,18.19,2.14,0,0
21Day,2.68,6.69,0,17.4,2.68,0,0,4.02,0,0,0,1.34,5.35,9.37,6.69,1.34,0,0
3Month,0,0,0,0,0,0,1.28,0.64,0.32,0,0,0,0.32,0,0,0,0.96,1.28
22Month,0,0,0,0,0,0,3.83,0.55,0,0,0,0,0,0,0,0,0,0
