stage,Mesenchymal_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell
24hpf,4.09,4.09,0,4.09,0
72hpf,3.21,0,0,3.21,0
21Day,6.69,0,1.34,6.69,1.34
