stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,4.09,0,0,4.09,0,0,0,192.06,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,12.05,0,0,1.34,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0,12.05
3Month,0,0.96,0.64,0,0.96,76.47,3.52,31.36,0,1.6,0.64,1.6,12.48,0.96,0,0,1.28,0,0,0,0,0.64,0.96,0.32,0.64,15.68
22Month,0.55,2.19,1.09,0.55,1.64,210.46,20.77,10.93,0,4.37,0,1.09,33.35,1.09,1.09,0,0,0.55,0,0.55,0.55,0,1.09,0,0,18.04
