stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,2.14,0,0,1.07,0,0,0,0,0,0,1.07,2.14,0,0,2.14,3.21,1.07,0,0,0,0
21Day,0,1.34,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,2.68,1.34,1.34,0,0,0,0
3Month,0,0.32,0,0.32,0,0.64,0.32,2.56,0.32,0.32,0.96,0.64,1.28,0.96,0.32,0,0,0,3.52,0.32,16.64,0.64
22Month,0.55,0,0,0,0,0,0.55,4.37,0,0,0.55,0,1.09,0,0,0,0.55,0,1.09,0,0.55,0
