stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,32.69,0,16.35,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,1.07,0,0,0,0,1.07,0,0,0,14.98,2.14,0,1.07,0,190.42,6.42,7.49,0,1.07,0,0,1.07,0,0
21Day,1.34,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,32.12,2.68,0,0,0,0,0,0,0,0
3Month,0,0.64,0.32,6.72,0,0.32,0.32,0.64,1.28,4.16,2.88,0,0.96,0,1.92,0.96,4.48,0.96,526.32,0,0,0.64,0,1.28,1.6,0.32,0.96,1.28
22Month,0,0,0,0.55,0,0,0,0,0,1.64,0.55,0.55,0,0,0,0.55,0,0,6.01,0,0,0,0,0,0,0,0,0
