stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,2.14,0,1.07,0,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,1.34,0,5.35,0,0,0,0,0,0,0,0,4.02,1.34,0,0,12.05
3Month,0,0.32,0.64,4.16,0,0.32,2.88,6.08,1.6,0,2.24,0.32,0.96,2.24,1.28,0.32,0,0,1.6,51.51,0.64,144.3,32.63
22Month,0,0,0,1.09,0,0,0.55,4.37,0,0,0.55,0,0.55,2.19,0.55,0,0.55,0,0,9.29,0.55,1.64,4.37
